FY,COUNTY,CODISTSCH,DISTRICTLNAME,v,FREELUNCH,REDUCEDLUNCH,FREEREDUCEDLUNCH,PERCENT
2015-2016,KNOX,540096000,CROFTON COMMUNITY SCHOOLS,341,62,52,114,33.43
2015-2016,KNOX,540501000,NIOBRARA PUBLIC SCHOOLS,208,138,17,155,74.52
2015-2016,KNOX,540505000,SANTEE COMMUNITY SCHOOLS,174,107,64,171,98.28
2015-2016,KNOX,540576000,WAUSA PUBLIC SCHOOLS,253,58,33,91,35.97
2015-2016,KNOX,540586000,BLOOMFIELD COMMUNITY SCHOOLS,251,74,27,101,40.24
2015-2016,KNOX,540701000,ST LUDGER ELEMENTARY SCHOOL,26,,,13,50
2015-2016,KNOX,540702000,ST ROSE OF LIMA ELEM SCHOOL,123,,,17,13.82
2015-2016,LANCASTER,550001000,LINCOLN PUBLIC SCHOOLS,39842,13953,2865,16818,42.21
2015-2016,LANCASTER,550145000,WAVERLY SCHOOL DISTRICT 145,2014,227,117,344,17.08
2015-2016,LANCASTER,550148000,MALCOLM PUBLIC SCHOOLS,529,37,20,57,10.78
2015-2016,LANCASTER,550160000,NORRIS SCHOOL DIST 160,2241,153,115,268,11.96
2015-2016,LANCASTER,550161000,RAYMOND CENTRAL PUBLIC SCHOOLS,617,67,43,110,17.83
2015-2016,LANCASTER,550605000,UNIVERSITY OF NEBRASKA HIGH SCHOOL,114,,,,
2015-2016,LANCASTER,550701000,BLESSED SACRAMENT CATHOLIC ELEM SCHOOL,190,,,64,33.68
2015-2016,LANCASTER,550702000,MESSIAH LUTHERAN ELEMENTARY  SCHOOL,200,,,,
2015-2016,LANCASTER,550703000,CATHEDRAL OF RISEN CHRIST ELEM,307,26,32,58,18.89
2015-2016,LANCASTER,550704000,LINCOLN CHRISTIAN SCHOOLS,668,29,51,80,11.98
2015-2016,LANCASTER,550706000,LINCOLN LUTHERAN MS/SR HIGH,298,,,13,4.36
2015-2016,LANCASTER,550707000,PIUS X HIGH SCHOOL,1224,65,72,137,11.19
2015-2016,LANCASTER,550708000,SACRED HEART ELEM SCHOOL,164,50,25,75,45.73
2015-2016,LANCASTER,550709000,COLLEGE VIEW ACADEMY,218,,,,
2015-2016,LANCASTER,550711000,GEORGE STONE ELEMENTARY S D A,13,,,,
2015-2016,LANCASTER,550712000,ST JOHN'S ELEMENTARY SCHOOL,368,30,30,60,16.3
2015-2016,LANCASTER,550713000,ST MARK ELEMENTARY SCHOOL,26,,,,
2015-2016,LANCASTER,550714000,ST MARY'S ELEMENTARY SCHOOL,160,53,39,92,57.5
2015-2016,LANCASTER,550715000,ST PATRICK CATHOLIC SCHOOL,163,44,22,66,40.49
2015-2016,LANCASTER,550716000,ST TERESA ELEMENTARY SCHOOL,283,28,28,56,19.79
2015-2016,LANCASTER,550717000,TRINITY LUTHERAN ELEM SCHOOL,108,,,15,13.89
2015-2016,LANCASTER,550719000,ST JOSEPH'S CATHOLIC SCHOOL,504,20,26,46,9.13
2015-2016,LANCASTER,550720000,VILLA MARIE SCHOOL,11,,,,
2015-2016,LANCASTER,550728000,FAITH LUTHERAN SCHOOL,106,,,15,14.15
2015-2016,LANCASTER,550734000,TRINITY KINDERGARTEN PROGRAM,8,,,,
2015-2016,LANCASTER,550743000,PRAIRIE HILL LEARNING CENTER,66,,,,
2015-2016,LANCASTER,550745000,CHILDREN'S CIRCLE MONTESSORI,35,,,,
2015-2016,LANCASTER,550753000,ST PETER'S CATHOLIC SCHOOL,450,,,26,5.78
2015-2016,LANCASTER,550754000,CHILD VIEW MONTESSORI,38,,,,
2015-2016,LANCASTER,550755000,PARKVIEW CHRISTIAN SCHOOLS,147,,,,
2015-2016,LANCASTER,550758000,NORTH AMERICAN MARTYRS SCHOOL,582,35,21,56,9.62
2015-2016,LANCASTER,550759000,BERNIKLAU ED SOLUTIONS TEAM,5,,,,
2015-2016,LANCASTER,550762000,GOOD SHEPHERD LUTHERAN SCHOOL,67,,,,
2015-2016,LANCASTER,550764000,CHRIST ELEMENTARY SCHOOL,169,,,,
2015-2016,LANCASTER,550766000,ST MICHAEL CATHOLIC SCHOOL,288,,,,
2015-2016,LINCOLN,560001000,NORTH PLATTE PUBLIC SCHOOLS,4309,1465,396,1861,43.19
2015-2016,LINCOLN,560006000,BRADY PUBLIC SCHOOLS,187,38,21,59,31.55
2015-2016,LINCOLN,560007000,MAXWELL PUBLIC SCHOOLS,252,59,38,97,38.49
2015-2016,LINCOLN,560037000,HERSHEY PUBLIC SCHOOLS,527,77,40,117,22.2
2015-2016,LINCOLN,560055000,SUTHERLAND PUBLIC SCHOOLS,372,66,42,108,29.03
2015-2016,LINCOLN,560565000,WALLACE PUBLIC SCH DIST 65 R,205,,,55,26.83
2015-2016,LINCOLN,560701000,OUR REDEEMER LUTHERAN ELEM SCH,73,,,,
2015-2016,LINCOLN,560702000,NORTH PLATTE CATHOLIC SCHOOLS,459,,,46,10.02
2015-2016,LINCOLN,560706000,PLATTE VALLEY CHRISTIAN ACADM,5,,,,
2015-2016,LOGAN,570501000,STAPLETON PUBLIC SCHOOLS,198,41,26,67,33.84
2015-2016,LOUP,580025000,LOUP COUNTY PUBLIC SCHOOLS,66,,,29,43.94
2015-2016,MADISON,590001000,MADISON PUBLIC SCHOOLS,529,300,80,380,71.83
2015-2016,MADISON,590002000,NORFOLK PUBLIC SCHOOLS,4242,1527,468,1995,47.03
2015-2016,MADISON,590005000,BATTLE CREEK PUBLIC SCHOOLS,416,70,16,86,20.67
2015-2016,MADISON,590013000,NEWMAN GROVE PUBLIC SCHOOLS,196,77,21,98,50
2015-2016,MADISON,590080000,ELKHORN VALLEY SCHOOLS,347,72,31,103,29.68
2015-2016,MADISON,590702000,ST LEONARD'S ELEMENTARY SCHOOL,25,,,,
2015-2016,MADISON,590703000,TRINITY LUTHERAN ELEM SCHOOL,50,,,,
2015-2016,MADISON,590704000,NORFOLK CATHOLIC SCHOOLS,671,38,53,91,13.56
2015-2016,MADISON,590706000,CHRIST LUTHERAN ELEM SCHOOL,329,19,11,30,9.12
2015-2016,MADISON,590707000,ST PAUL'S LUTHERAN ELEM SCHOOL,134,,,11,8.21
2015-2016,MADISON,590708000,ST JOHN LUTHERAN ELEM SCHOOL,143,,,12,8.39
2015-2016,MADISON,590712000,KEYSTONE CHRISTIAN ACADEMY,49,,,,
2015-2016,MADISON,590714000,LUTHERAN HIGH NORTHEAST,111,,,,
2015-2016,MCPHERSON,600090000,MC PHERSON COUNTY SCHOOLS,91,,,,
2015-2016,MERRICK,610004000,CENTRAL CITY PUBLIC SCHOOLS,693,165,117,282,40.69
2015-2016,MERRICK,610049000,PALMER PUBLIC SCHOOLS,291,85,46,131,45.02
2015-2016,MERRICK,610701000,NEBRASKA CHRISTIAN SCHOOLS,189,,,,
2015-2016,MORRILL,620021000,BAYARD PUBLIC SCHOOLS,410,133,69,202,49.27
2015-2016,MORRILL,620063000,BRIDGEPORT PUBLIC SCHOOLS,483,176,59,235,48.65
2015-2016,NANCE,630001000,FULLERTON PUBLIC SCHOOLS,317,62,36,98,30.91
2015-2016,NANCE,630030000,TWIN RIVER PUBLIC SCHOOLS,486,117,66,183,37.65
2015-2016,NEMAHA,640023000,JOHNSON-BROCK PUBLIC SCHOOLS,326,71,45,116,35.58
2015-2016,NEMAHA,640029000,AUBURN PUBLIC SCHOOLS,865,238,60,298,34.45
2015-2016,NUCKOLLS,650011000,SUPERIOR PUBLIC SCHOOLS,435,145,45,190,43.68
2015-2016,NUCKOLLS,652005000,SOUTH CENTRAL NEBRASKA UNIFIED 5,698,172,136,308,44.13
2015-2016,OTOE,660027000,SYRACUSE-DUNBAR-AVOCA SCHOOLS,753,133,42,175,23.24
2015-2016,OTOE,660111000,NEBRASKA CITY PUBLIC SCHOOLS,1480,561,115,676,45.68
2015-2016,OTOE,660501000,PALMYRA DISTRICT O R 1,469,59,24,83,17.7
2015-2016,OTOE,660701000,NEBRASKA CITY LOURDES CENTRAL,360,66,14,80,22.22
2015-2016,PAWNEE,670001000,PAWNEE CITY PUBLIC SCHOOLS,289,99,28,127,43.94
2015-2016,PAWNEE,670069000,LEWISTON CONSOLIDATED SCHOOLS,220,73,30,103,46.82
2015-2016,PERKINS,680020000,PERKINS COUNTY SCHOOLS,413,94,52,146,35.35
2015-2016,PHELPS,690044000,HOLDREGE PUBLIC SCHOOLS,1153,270,121,391,33.91
2015-2016,PHELPS,690054000,BERTRAND PUBLIC SCHOOLS,300,69,40,109,36.33
2015-2016,PHELPS,690055000,LOOMIS PUBLIC SCHOOLS,213,36,25,61,28.64
2015-2016,PHELPS,690705000,ALL SAINTS CATHOLIC SCHOOL,66,,,,
2015-2016,PIERCE,700002000,PIERCE PUBLIC SCHOOLS,653,78,50,128,19.6
2015-2016,PIERCE,700005000,PLAINVIEW PUBLIC SCHOOLS,329,94,34,128,38.91
2015-2016,PIERCE,700542000,OSMOND COMMUNITY SCHOOLS,214,,,74,34.58
2015-2016,PIERCE,700701000,ZION LUTHERAN ELEMENTARY SCH,96,,,12,12.5
2015-2016,PIERCE,700702000,ZION LUTHERAN ELEMENTARY SCH,36,,,10,27.78
2015-2016,PIERCE,700703000,IMMANUEL LUTHERAN ELEM SCH,27,,,,
2015-2016,PIERCE,700705000,ST MARY ELEMENTARY SCHOOL,46,,,10,21.74
2015-2016,PLATTE,710001000,COLUMBUS PUBLIC SCHOOLS,3838,1465,552,2017,52.55
2015-2016,PLATTE,710005000,LAKEVIEW COMMUNITY SCHOOLS,840,237,88,325,38.69
2015-2016,PLATTE,710067000,HUMPHREY PUBLIC SCHOOLS,267,41,21,62,23.22
2015-2016,PLATTE,710701000,IMMANUEL LUTHERAN ELEM SCHOOL,173,,,18,10.4
2015-2016,PLATTE,710702000,ST ANTHONY ELEMENTARY SCHOOL,101,20,12,32,31.68
2015-2016,PLATTE,710703000,ST BONAVENTURE ELEM SCHOOL,172,19,26,45,26.16
2015-2016,PLATTE,710704000,ST ISIDORE ELEMENTARY SCHOOL,272,,,15,5.51
2015-2016,PLATTE,710705000,SCOTUS CENTRAL CATHOLIC,371,10,26,36,9.7
2015-2016,PLATTE,710706000,HOLY FAMILY SCHOOLS,87,,,13,14.94
2015-2016,PLATTE,710708000,ST FRANCIS SCHOOLS,196,,,42,21.43
2015-2016,PLATTE,710710000,ST JOHN LUTHERAN ELEM SCHOOL,35,,,,
2015-2016,PLATTE,710711000,CHRIST LUTHERAN ELEMENTARY SCH,25,,,,
2015-2016,PLATTE,710712000,COLUMBUS CHRISTIAN SCHOOL,47,,,,
2015-2016,POLK,720015000,CROSS COUNTY COMMUNITY SCHOOLS,369,75,38,113,30.62
2015-2016,POLK,720019000,OSCEOLA PUBLIC SCHOOLS,265,67,23,90,33.96
2015-2016,POLK,720032000,SHELBY - RISING CITY PUBLIC SCHOOLS,379,115,28,143,37.73
2015-2016,POLK,720075000,HIGH PLAINS COMMUNITY SCHOOLS,228,73,38,111,48.68
2015-2016,POLK,720701000,POLK COUNTY CHRISTIAN SCHOOL,11,,,,
2015-2016,RED WILLOW,730017000,MC COOK PUBLIC SCHOOLS,1407,442,155,597,42.43
2015-2016,RED WILLOW,730179000,SOUTHWEST PUBLIC SCHOOLS,304,106,48,154,50.66
2015-2016,RED WILLOW,730701000,ST PATRICK'S ELEMENTARY SCHOOL,195,,,,
2015-2016,RICHARDSON,740056000,FALLS CITY PUBLIC SCHOOLS,895,347,91,438,48.94
2015-2016,RICHARDSON,740070000,HUMBOLDT TABLE ROCK STEINAUER,385,132,69,201,52.21
2015-2016,RICHARDSON,740702000,SACRED HEART SCHOOLS,224,28,19,47,20.98
2015-2016,ROCK,750100000,ROCK COUNTY PUBLIC SCHOOLS,216,49,26,75,34.72
2015-2016,SALINE,760002000,CRETE PUBLIC SCHOOLS,1867,861,176,1037,55.54
2015-2016,SALINE,760044000,DORCHESTER PUBLIC SCHOOL,189,58,21,79,41.8
2015-2016,SALINE,760068000,FRIEND PUBLIC SCHOOLS,265,51,22,73,27.55
2015-2016,SALINE,760082000,WILBER-CLATONIA PUBLIC SCHOOLS,577,102,36,138,23.92
2015-2016,SALINE,760701000,ST JAMES ELEMENTARY SCHOOL,89,23,13,36,40.45
2015-2016,SALINE,760703000,ZION LUTHERAN ELEMENTARY SCH,7,,,,
2015-2016,SARPY,770001000,BELLEVUE PUBLIC SCHOOLS,10082,2654,1100,3754,37.23
2015-2016,SARPY,770027000,PAPILLION-LA VISTA PUBLIC SCHS,11514,2108,659,2767,24.03
2015-2016,SARPY,770037000,GRETNA PUBLIC SCHOOLS,4276,206,144,350,8.19
2015-2016,SARPY,770046000,SPRINGFIELD PLATTEVIEW COMMUNITY SCHOOLS,1157,151,80,231,19.97
2015-2016,SARPY,770701000,ST MARY ELEMENTARY SCHOOL,204,,,33,16.18
2015-2016,SARPY,770702000,ST BERNADETTE ELEMENTARY SCH,270,44,20,64,23.7
2015-2016,SARPY,770703000,DANIEL J GROSS CATHOLIC HIGH,391,,,,
2015-2016,SARPY,770705000,ST COLUMBKILLE ELEMENTARY SCH,513,20,14,34,6.63
2015-2016,SARPY,770706000,ST MATTHEW THE EVANGELIST SCH,125,12,10,22,17.6
2015-2016,SARPY,770713000,CORNERSTONE CHRISTIAN SCHOOLS,298,,,,
2015-2016,SAUNDERS,780001000,ASHLAND-GREENWOOD PUBLIC SCHS,867,208,67,275,31.72
2015-2016,SAUNDERS,780009000,YUTAN PUBLIC SCHOOLS,477,91,35,126,26.42
2015-2016,SAUNDERS,780039000,WAHOO PUBLIC SCHOOLS,1025,256,71,327,31.9
2015-2016,SAUNDERS,780072000,MEAD PUBLIC SCHOOLS,241,67,23,90,37.34
2015-2016,SAUNDERS,780107000,CEDAR BLUFFS PUBLIC SCHOOLS,316,106,65,171,54.11
2015-2016,SAUNDERS,780701000,ST WENCESLAUS ELEMENTARY SCH,265,15,13,28,10.57
2015-2016,SAUNDERS,780702000,BISHOP NEUMANN HIGH SCHOOL,284,21,17,38,13.38
2015-2016,SAUNDERS,780703000,ST JOHN NEPOMUCENE ELEM SCHOOL,49,,,12,24.49
2015-2016,SCOTTS BLUFF,790002000,MINATARE PUBLIC SCHOOLS,211,169,15,184,87.2
2015-2016,SCOTTS BLUFF,790011000,MORRILL PUBLIC SCHOOLS,366,170,37,207,56.56
2015-2016,SCOTTS BLUFF,790016000,GERING PUBLIC SCHOOLS,2030,720,223,943,46.45
2015-2016,SCOTTS BLUFF,790031000,MITCHELL PUBLIC SCHOOLS,683,199,89,288,42.17
2015-2016,SCOTTS BLUFF,790032000,SCOTTSBLUFF PUBLIC SCHOOLS,3348,1683,390,2073,61.92
2015-2016,SCOTTS BLUFF,790702000,ST AGNES ELEMENTARY SCHOOL,124,,,25,20.16
2015-2016,SCOTTS BLUFF,790703000,VALLEY VIEW SDA CHRISITAN SCH,6,,,,
2015-2016,SCOTTS BLUFF,790705000,COMMUNITY CHRISTIAN SCHOOLS,176,,,,
2015-2016,SEWARD,800005000,MILFORD PUBLIC SCHOOLS,704,108,30,138,19.6
2015-2016,SEWARD,800009000,SEWARD PUBLIC SCHOOLS,1406,238,126,364,25.89
2015-2016,SEWARD,800567000,CENTENNIAL PUBLIC SCHOOLS,447,136,46,182,40.72
2015-2016,SEWARD,800701000,ST JOHN LUTHERAN SCHOOL,175,11,15,26,14.86
2015-2016,SEWARD,800703000,OUR REDEEMER LUTHERAN ELEM SCH,55,,,,
2015-2016,SEWARD,800704000,ST PAUL'S LUTHERAN ELEM SCHOOL,97,10,12,22,22.68
2015-2016,SEWARD,800710000,ST VINCENT DEPAUL CATHOLIC SCH,69,,,10,14.49
2015-2016,SHERIDAN,810003000,HAY SPRINGS PUBLIC SCHOOLS,195,62,32,94,48.21
2015-2016,SHERIDAN,810010000,GORDON-RUSHVILLE PUBLIC SCHS,635,297,68,365,57.48
2015-2016,SHERMAN,820001000,LOUP CITY PUBLIC SCHOOLS,345,91,58,149,43.19
2015-2016,SHERMAN,820015000,LITCHFIELD PUBLIC SCHOOLS,101,30,20,50,49.5
2015-2016,SIOUX,830500000,SIOUX COUNTY PUBLIC SCHOOLS,95,,,20,21.05
2015-2016,STANTON,840003000,STANTON COMMUNITY SCHOOLS,437,124,60,184,42.11
2015-2016,THAYER,850060000,DESHLER PUBLIC SCHOOLS,243,71,28,99,40.74
2015-2016,THAYER,850070000,THAYER CENTRAL COMMUNITY SCHS,436,100,46,146,33.49
2015-2016,THAYER,850703000,DESHLER LUTHERAN ELEM SCHOOL,53,13,10,23,43.4
2015-2016,THAYER,852001000,BRUNING-DAVENPORT UNIFIED SYS,197,39,23,62,31.47
2015-2016,THOMAS,860001000,THEDFORD PUBLIC SCHOOLS,112,31,22,53,47.32
2015-2016,THURSTON,870001000,PENDER PUBLIC SCHOOLS,383,84,30,114,29.77
2015-2016,THURSTON,870013000,WALTHILL PUBLIC SCHOOLS,372,227,135,362,97.31
2015-2016,THURSTON,870016000,UMO N HO N NATION PUBLIC SCHS,521,,,498,95.59
2015-2016,THURSTON,870017000,WINNEBAGO PUBLIC SCHOOLS,598,476,21,497,83.11
2015-2016,THURSTON,870701000,ST AUGUSTINE ELEMENTARY SCH,121,55,20,75,61.98
2015-2016,VALLEY,880005000,ORD PUBLIC SCHOOLS,632,195,71,266,42.09
2015-2016,VALLEY,880021000,ARCADIA PUBLIC SCHOOLS,126,40,20,60,47.62
2015-2016,VALLEY,880701000,ST MARY'S ELEMENTARY SCHOOL,42,,,24,57.14
2015-2016,WASHINGTON,890001000,BLAIR COMMUNITY SCHOOLS,2349,436,137,573,24.39
2015-2016,WASHINGTON,890003000,FORT CALHOUN COMMUNITY SCHS,654,85,29,114,17.43
2015-2016,WASHINGTON,890024000,ARLINGTON PUBLIC SCHOOLS,635,108,41,149,23.46
2015-2016,WASHINGTON,890701000,ST PAUL'S LUTHERAN ELEM SCHOOL,71,,,,
2015-2016,WASHINGTON,890702000,IMMANUEL LUTHERAN ELEM SCHOOL,6,,,,
2015-2016,WAYNE,900017000,WAYNE COMMUNITY SCHOOLS,900,222,83,305,33.89
2015-2016,WAYNE,900560000,WAKEFIELD PUBLIC SCHOOLS,458,208,55,263,57.42
2015-2016,WAYNE,900595000,WINSIDE PUBLIC SCHOOLS,221,43,35,78,35.29
2015-2016,WAYNE,900701000,TRINITY LUTHERAN SCHOOLS,22,,,,
2015-2016,WAYNE,900702000,ST MARY'S ELEMENTARY SCHOOL,47,,,,
2015-2016,WEBSTER,910002000,RED CLOUD COMMUNITY SCHOOLS,236,99,34,133,56.36
2015-2016,WEBSTER,910074000,BLUE HILL PUBLIC SCHOOLS,319,69,30,99,31.03
2015-2016,WHEELER,920045000,WHEELER CENTRAL SCHOOLS,93,,,40,43.01
2015-2016,YORK,930012000,YORK PUBLIC SCHOOLS,1365,423,167,590,43.22
2015-2016,YORK,930083000,MC COOL JUNCTION PUBLIC SCHS,283,83,38,121,42.76
2015-2016,YORK,930096000,HEARTLAND COMMUNITY SCHOOLS,333,70,31,101,30.33
2015-2016,YORK,930701000,EMMANUEL LUTHERAN ELEM SCHOOL,147,32,23,55,37.41
2015-2016,YORK,930702000,ST JOSEPH'S ELEMENTARY SCHOOL,171,,,,
2015-2016,YORK,930703000,NEBRASKA EV LUTHERAN SCHOOLS,116,,,31,26.72
2014-2015,ADAMS,010003000,KENESAW PUBLIC SCHOOLS,268,49,15,64,23.88
2014-2015,ADAMS,010018000,HASTINGS PUBLIC SCHOOLS,3683,1940,278,2218,60.22
2014-2015,ADAMS,010090000,ADAMS CENTRAL PUBLIC SCHOOLS,890,113,48,161,18.09
2014-2015,ADAMS,010123000,SILVER LAKE PUBLIC SCHOOLS,220,39,40,79,35.91
2014-2015,ADAMS,010701000,CHRIST LUTHERAN ELEMENTARY SCH,47,,,,
2014-2015,ADAMS,010702000,HASTINGS CATHOLIC SCHOOLS,463,66,38,104,22.46
2014-2015,ADAMS,010705000,ZION LUTHERAN ELEMENTARY SCH,67,14,13,27,40.3
2014-2015,ANTELOPE,020009000,NELIGH-OAKDALE SCHOOLS,397,104,69,173,43.58
2014-2015,ANTELOPE,020018000,ELGIN PUBLIC SCHOOLS,200,83,29,112,56
2014-2015,ANTELOPE,020701000,ST BONIFACE ELEMENTARY SCHOOL,51,,,16,31.37
2014-2015,ANTELOPE,020702000,POPE JOHN XXIII HIGH SCHOOL,71,,,18,25.35
2014-2015,ANTELOPE,022001000,NEBRASKA UNIFIED DISTRICT 1,465,133,104,237,50.97
2014-2015,ARTHUR,030500000,ARTHUR COUNTY SCHOOLS,107,,,,
2014-2015,BANNER,040001000,BANNER COUNTY PUBLIC SCHOOLS,162,62,29,91,56.17
2014-2015,BLAINE,050071000,SANDHILLS PUBLIC SCHOOLS,115,34,17,51,44.35
2014-2015,BOONE,060001000,BOONE CENTRAL SCHOOLS,591,109,72,181,30.63
2014-2015,BOONE,060017000,ST EDWARD PUBLIC SCHOOLS,172,55,22,77,44.77
2014-2015,BOONE,060075000,RIVERSIDE PUBLIC SCHOOLS,235,59,49,108,45.96
2014-2015,BOONE,060701000,ST MICHAEL'S ELEMENTARY SCHOOL,114,,,18,15.79
2014-2015,BOX BUTTE,070006000,ALLIANCE PUBLIC SCHOOLS,1563,591,207,798,51.06
2014-2015,BOX BUTTE,070010000,HEMINGFORD PUBLIC SCHOOLS,408,79,35,114,27.94
2014-2015,BOX BUTTE,070705000,IMMANUEL EVANGELICAL LUTHERAN SCHOOL,40,,,,
2014-2015,BOYD,080036000,LYNCH PUBLIC SCHOOLS,69,26,11,37,53.62
2014-2015,BOYD,080050000,WEST BOYD SCHOOL DISTRICT,280,111,38,149,53.21
2014-2015,BROWN,090010000,AINSWORTH COMMUNITY SCHOOLS,477,152,62,214,44.86
2014-2015,BUFFALO,100002000,GIBBON PUBLIC SCHOOLS,599,251,80,331,55.26
2014-2015,BUFFALO,100007000,KEARNEY PUBLIC SCHOOLS,5374,1553,546,2099,39.06
2014-2015,BUFFALO,100009000,ELM CREEK PUBLIC SCHOOLS,355,91,34,125,35.21
2014-2015,BUFFALO,100019000,SHELTON PUBLIC SCHOOLS,286,89,35,124,43.36
2014-2015,BUFFALO,100069000,RAVENNA PUBLIC SCHOOLS,460,124,64,188,40.87
2014-2015,BUFFALO,100105000,PLEASANTON PUBLIC SCHOOLS,264,47,18,65,24.62
2014-2015,BUFFALO,100119000,AMHERST PUBLIC SCHOOLS,358,68,22,90,25.14
2014-2015,BUFFALO,100600000,KEARNEY WEST HIGH SCHOOL,98,,,,
2014-2015,BUFFALO,100701000,KEARNEY CATHOLIC SCHOOLS,358,11,12,23,6.42
2014-2015,BUFFALO,100702000,ZION LUTHERAN ELEMENTARY SCH,155,14,16,30,19.35
2014-2015,BUFFALO,100709000,FAITH CHRISTIAN SCH/KEARNEY,102,,,,
2014-2015,BURT,110001000,TEKAMAH-HERMAN COMMUNITY SCHS,572,149,40,189,33.04
2014-2015,BURT,110014000,OAKLAND CRAIG PUBLIC SCHOOLS,440,113,31,144,32.73
2014-2015,BURT,110020000,LYONS-DECATUR NORTHEAST SCHS,253,99,23,122,48.22
2014-2015,BUTLER,120056000,DAVID CITY PUBLIC SCHOOLS,662,247,96,343,51.81
2014-2015,BUTLER,120502000,EAST BUTLER PUBLIC SCHOOLS,332,45,27,72,21.69
2014-2015,BUTLER,120701000,AQUINAS ST MARYS CATHOLIC SCHS,527,29,58,87,16.51
2014-2015,CASS,130001000,PLATTSMOUTH COMMUNITY SCHOOLS,1784,579,207,786,44.06
2014-2015,CASS,130022000,WEEPING WATER PUBLIC SCHOOLS,339,87,42,129,38.05
2014-2015,CASS,130032000,LOUISVILLE PUBLIC SCHOOLS,584,81,35,116,19.86
2014-2015,CASS,130056000,CONESTOGA PUBLIC SCHOOLS,645,110,40,150,23.26
2014-2015,CASS,130097000,ELMWOOD-MURDOCK PUBLIC SCHOOLS,426,73,21,94,22.07
2014-2015,CASS,130701000,ST JOHN THE BAPTIST ELEMENTARY,156,,,22,14.1
2014-2015,CEDAR,140008000,HARTINGTON NEWCASTLE PUBLIC SCHOOLS,326,73,53,126,38.65
2014-2015,CEDAR,140045000,RANDOLPH PUBLIC SCHOOLS,248,55,38,93,37.5
2014-2015,CEDAR,140054000,LAUREL-CONCORD-COLERIDGE SCHOOL,438,110,51,161,36.76
2014-2015,CEDAR,140101000,WYNOT PUBLIC SCHOOLS,162,49,24,73,45.06
2014-2015,CEDAR,140701000,HOLY TRINITY ELEMENTARY SCHOOL,219,17,27,44,20.09
2014-2015,CEDAR,140702000,CEDAR CATHOLIC HIGH SCHOOL,204,19,32,51,25
2014-2015,CEDAR,140703000,WEST CATHOLIC ELEMENTARY SCH,16,,,,
2014-2015,CEDAR,140704000,EAST CATHOLIC ELEMENTARY SCH,36,,,11,30.56
2014-2015,CHASE,150010000,CHASE COUNTY SCHOOLS,626,160,45,205,32.75
2014-2015,CHASE,150536000,WAUNETA-PALISADE PUBLIC SCHS,216,70,50,120,55.56
2014-2015,CHERRY,160006000,VALENTINE COMMUNITY SCHOOLS,640,200,84,284,44.38
2014-2015,CHERRY,160030000,CODY-KILGORE PUBLIC SCHS,149,67,27,94,63.09
2014-2015,CHERRY,160701000,ZION LUTHERAN ELEMENTARY SCH,17,,,,
2014-2015,CHEYENNE,170001000,SIDNEY PUBLIC SCHOOLS,1357,302,114,416,30.66
2014-2015,CHEYENNE,170003000,LEYTON PUBLIC SCHOOLS,213,52,29,81,38.03
2014-2015,CHEYENNE,170009000,POTTER-DIX PUBLIC SCHOOLS,176,51,26,77,43.75
2014-2015,CLAY,180002000,SUTTON PUBLIC SCHOOLS,398,79,27,106,26.63
2014-2015,CLAY,180011000,HARVARD PUBLIC SCHOOLS,322,194,25,219,68.01
2014-2015,CLAY,180701000,SUTTON CHRISTIAN SCHOOL,18,,,,
2014-2015,COLFAX,190039000,LEIGH COMMUNITY SCHOOLS,183,43,22,65,35.52
2014-2015,COLFAX,190058000,CLARKSON PUBLIC SCHOOLS,192,20,25,45,23.44
2014-2015,COLFAX,190070000,HOWELLS-DODGE CONSOLIDATED SCHOOLS,249,51,22,73,29.32
2014-2015,COLFAX,190123000,SCHUYLER COMMUNITY SCHOOLS,1961,1246,256,1502,76.59
2014-2015,COLFAX,190703000,ST JOHN NEUMANN ELEMENTARY SCH,23,,,,
2014-2015,COLFAX,190704000,HOWELLS COMMUNITY CATHOLIC SCH,51,,,,
2014-2015,CUMING,200001000,WEST POINT PUBLIC SCHOOLS,826,355,107,462,55.93
2014-2015,CUMING,200020000,BANCROFT-ROSALIE COMM SCHOOLS,271,79,35,114,42.07
2014-2015,CUMING,200030000,WISNER-PILGER PUBLIC SCHOOLS,488,155,67,222,45.49
2014-2015,CUMING,200703000,ST PAUL LUTHERAN ELEM SCHOOL,119,,,27,22.69
2014-2015,CUMING,200706000,ZION ST JOHN LUTHERAN SCHOOL,6,,,,
2014-2015,CUMING,200710000,GUARDIAN ANGELS CENTRAL CATHOLIC SCHOOLS,353,10,18,28,7.93
2014-2015,CUSTER,210015000,ANSELMO-MERNA PUBLIC SCHOOLS,258,52,30,82,31.78
2014-2015,CUSTER,210025000,BROKEN BOW PUBLIC SCHOOLS,833,245,105,350,42.02
2014-2015,CUSTER,210044000,ANSLEY PUBLIC SCHOOLS,160,44,19,63,39.38
2014-2015,CUSTER,210084000,SARGENT PUBLIC SCHOOLS,180,56,23,79,43.89
2014-2015,CUSTER,210089000,ARNOLD PUBLIC SCHOOLS,136,28,13,41,30.15
2014-2015,CUSTER,210180000,CALLAWAY PUBLIC SCHOOLS,197,52,23,75,38.07
2014-2015,DAKOTA,220011000,SO SIOUX CITY COMMUNITY SCHS,3925,2115,486,2601,66.27
2014-2015,DAKOTA,220031000,HOMER COMMUNITY SCHOOLS,421,90,51,141,33.49
