FY,COUNTY,CODISTSCH,DISTRICTLNAME,v,FREELUNCH,REDUCEDLUNCH,FREEREDUCEDLUNCH,PERCENT
2016-2017,SARPY,770701000,ST MARY ELEMENTARY SCHOOL,192,,,32,16.67
2016-2017,SARPY,770702000,ST BERNADETTE ELEMENTARY SCH,310,26,19,45,14.52
2016-2017,SARPY,770703000,DANIEL J GROSS CATHOLIC HIGH,393,,,,
2016-2017,SARPY,770705000,ST COLUMBKILLE ELEMENTARY SCH,513,32,10,42,8.19
2016-2017,SARPY,770706000,ST MATTHEW THE EVANGELIST SCH,148,,,24,16.22
2016-2017,SARPY,770713000,CORNERSTONE CHRISTIAN SCHOOLS,314,,,,
2016-2017,SARPY,770720000,PRIMROSE SCH OF LA VISTA-PRIVATE KDG,48,,,,
2016-2017,SAUNDERS,780001000,ASHLAND-GREENWOOD PUBLIC SCHS,889,222,78,300,33.75
2016-2017,SAUNDERS,780009000,YUTAN PUBLIC SCHOOLS,483,87,36,123,25.47
2016-2017,SAUNDERS,780039000,WAHOO PUBLIC SCHOOLS,1024,257,81,338,33.01
2016-2017,SAUNDERS,780072000,MEAD PUBLIC SCHOOLS,250,76,25,101,40.4
2016-2017,SAUNDERS,780107000,CEDAR BLUFFS PUBLIC SCHOOLS,356,167,36,203,57.02
2016-2017,SAUNDERS,780701000,ST WENCESLAUS ELEMENTARY SCH,292,12,13,25,8.56
2016-2017,SAUNDERS,780702000,BISHOP NEUMANN HIGH SCHOOL,291,16,19,35,12.03
2016-2017,SAUNDERS,780703000,ST JOHN NEPOMUCENE ELEM SCHOOL,55,,,,
2016-2017,SCOTTS BLUFF,790002000,MINATARE PUBLIC SCHOOLS,212,,,193,91.04
2016-2017,SCOTTS BLUFF,790011000,MORRILL PUBLIC SCHOOLS,383,188,40,228,59.53
2016-2017,SCOTTS BLUFF,790016000,GERING PUBLIC SCHOOLS,1982,767,168,935,47.17
2016-2017,SCOTTS BLUFF,790031000,MITCHELL PUBLIC SCHOOLS,653,212,68,280,42.88
2016-2017,SCOTTS BLUFF,790032000,SCOTTSBLUFF PUBLIC SCHOOLS,3438,1770,386,2156,62.71
2016-2017,SCOTTS BLUFF,790702000,ST AGNES ELEMENTARY SCHOOL,131,,,29,22.14
2016-2017,SCOTTS BLUFF,790703000,VALLEY VIEW SDA CHRISITAN SCH,8,,,,
